'UNK', 'unknown', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL'
'F11', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F10', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F51', 'None', 'polymerase (RdRp)', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'polymerase', 0
'F52', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F50', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F34', 'None', 'regulatory factor', 'NULL', 'None', 'M2-2 has a role in regulating RNA synthesis.', 'The M2-2 ORF is expressed by a translational termination-reinitition mechanism.', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F21', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F35', 'PMD', 'None', 'Respirovirus', 'MD_1', 'EC 2.7.7.48', 'PMD domain : multimerization domain', 'coiled-coil', 'yes', 'NULL', 'polymerase co-factor', 'NULL', 'NULL', 'NULL', 'multimerization domain', 0
'F1', 'N-core_1', 'None', 'NULL', 'None', 'N-core (two modules = N-core_1/N-core_2): function of RNA binding and auto-assembly.', 'None', 'None', 'yes', 'encapsidation of the genomic and anti-genomic ARN', 'NULL', 'NULL', 'NULL', 'NULL', 'encapsidation RNA protein', 0
'F2', 'N-core_2', 'None', 'NULL', 'None', 'N-core (two modules = N-core_1/N-core_2): function of RNA binding and auto-assembly', 'None', 'None', 'yes', 'encapsidation of the genomic and anti-genomic ARN', 'NULL', 'None', 'None', 'NULL', 'encapsidation RNA protein', 0
'S29', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'DISF6', 'N-tail', 'None', 'NULL', 'None', 'Ntail: function of recruitment of P (and thus, complex L-P)', 'None', 'None', 'yes', 'encapsidation of the genomic and anti-genomic ARN', 'NULL', 'NULL', 'NULL', 'NULL', 'disorder', 1
'F5', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F6', 'PMD', 'None', 'NULL', 'None', 'None', 'PMD domain : multimerization domain', 'coiled-coil', 'yes', 'NULL', 'polymerase co-factor', 'NULL', 'NULL', 'NULL', 'multimerization domain', 1
'F8', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F9', 'Nucleocapsid', 'None', 'NULL', 'None', 'None', 'None', 'None', 'yes', 'encapsidation of the genomic and anti-genomic ARN ', 'NULL', 'NULL', 'NULL', 'NULL', 'encapsidation RNA protein', 1
'IHD', 'Inter Hydrophobic Domain', 'None', 'NULL', 'NULL', 'NULL', 'NULL', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL'
'S5', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL'
'S4', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'glycoprotein', 0
'F36', 'X domain', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'X domain', 0
'F12', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F13', 'None', 'None', 'NULL', 'None', 'These proteins (NS1 and NS2) enhance growth but are not essential.', 'NS1 might serve some role in RNA synthesis. NS1 and NS2, singly or together, do not appear to have an important role in the assembly or passage of virus-like particles.', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F18', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F16', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F15', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F14', 'None', 'None', 'NULL', 'None', 'These proteins (NS1 and NS2) enhance growth but are not essential.', 'NS1 and NS2, singly or together, do not appear to have an important role in the assembly or passage of virus-like particles.', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F23', 'PMD', 'None', 'Avulavirus; Rubulavirus', 'MD_1', 'None', 'PMD domain : multimerization domain', 'coiled-coil', 'yes', 'NULL', 'polymerase co-factor', 'NULL', 'NULL', 'NULL', 'multimerization domain', 0
'F46', 'No binding region', 'None', 'NULL', 'None', 'Region of interaction between the Phosphoprotein and monomeric form of Nucleoprotein.', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'DISF3', 'N-tail', 'None', 'NULL', 'None', 'Ntail: function of recruitment of P (and thus, complex L-P)', 'None', 'None', 'yes', 'encapsidation of the genomic and anti-genomic ARN', 'NULL', 'NULL', 'NULL', 'NULL', 'disorder', 0
'DISF8', 'N-tail', 'None', 'NULL', 'None', 'Ntail: function of recruitment of P (and thus, complex L-P)', 'None', 'None', 'yes', 'encapsidation of the genomic and anti-genomic ARN', 'NULL', 'NULL', 'NULL', 'NULL', 'disorder', 0
'DISF2', 'N-tail', 'None', 'NULL', 'None', 'Ntail: function of recruitment of P (and thus, complex L-P)', 'None', 'None', 'yes', 'encapsidation of the genomic and anti-genomic ARN', 'NULL', 'NULL', 'NULL', 'NULL', 'disorder', 0
'F22', 'None', 'zinc binding domain', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'zinc binding domain', 0
'F24', 'No binding region', 'None', 'NULL', 'None', 'Region of interaction between the Phosphoprotein and monomeric form of Nucleoprotein.', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'F27', 'Y domain', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'DISF11', 'N-tail', 'None', 'NULL', 'None', 'Ntail: function of recruitment of P (and thus, complex L-P)', 'None', 'None', 'yes', 'encapsidation of the genomic and anti-genomic ARN', 'NULL', 'NULL', 'NULL', 'NULL', 'disorder', 1
'DISF5', 'N-tail', 'None', 'NULL', 'None', 'Ntail: function of recruitment of P (and thus, complex L-P)', 'None', 'None', 'yes', 'encapsidation of the genomic and anti-genomic ARN', 'NULL', 'NULL', 'NULL', 'NULL', 'disorder', 1
'DISF1', 'N-tail', 'None', 'NULL', 'None', 'Ntail: function of recruitment of P (and thus, complex L-P)', 'None', 'None', 'yes', 'encapsidation of the genomic and anti-genomic ARN', 'NULL', 'NULL', 'NULL', 'NULL', 'disorder', 1
'F26', 'No binding region', 'None', 'NULL', 'None', 'Region of interaction between the Phosphoprotein and monomeric form of Nucleoprotein.', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'DISF7', 'N-tail', 'None', 'NULL', 'None', 'Ntail: function of recruitment of P (and thus, complex L-P)', 'None', 'None', 'yes', 'encapsidation of the genomic and anti-genomic ARN', 'NULL', 'NULL', 'NULL', 'NULL', 'disorder', 0
'F45', 'No binding region', 'None', 'NULL', 'None', 'Region of interaction between the Phosphoprotein and monomeric form of Nucleoprotein.', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'F44', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL'
'F43', 'N-core_1', 'None', 'NULL', 'None', 'N-core (two modules = N-core_1/N-core_2): function of RNA binding and auto-assembly.', 'typically : RESPIROVIRUS', 'None', 'yes', 'encapsidation of the genomic and anti-genomic ARN', 'NULL', 'NULL', 'NULL', 'NULL', 'encapsidation RNA protein', 0
'F25', 'PMD', 'None', 'NULL', 'None', 'MOTIF: find trigger sequences motifs retrivied in coiled coil;', 'PMD domain: multimerization domain', 'coiled-coil', 'yes', 'NULL', 'polymerase co-factor', 'NULL', 'NULL', 'NULL', 'multimerization domain', 0
'F28', 'X Domain', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'X domain', 1
'F29', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL'
'S12', 'fusion', 'None', 'NULL', 'None', 'REF : VaZy169', 'None', 'None', 'yes', 'fusion', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'F48', 'None', 'RNA encapsidation', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'RNA encapsidation protein', 1
'F47', 'No binding region', 'None', 'NULL', 'None', 'Region of interaction between the Phosphoprotein and monomeric form of Nucleoprotein.', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'S6', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'glycoprotein', 0
'S7', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'S8', 'Haemagglutinin', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'hemagglutinin', 'NULL'
'S10', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'yes', 'membrane protein', 'NULL', 'NULL', 'NULL', 'NULL', 'membrane protein', 0
'S9', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'yes', 'membrane protein', 'NULL', 'NULL', 'NULL', 'NULL', 'membrane protein', 0
'S13', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'S30', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'S31', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'S32', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'S33', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'S34', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'S35', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'S36', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'S37', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'S38', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'S39', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'S40', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'S41', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'F66', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F65', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F64', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F49', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F53', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F54', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F55', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F57', 'None', 'None', 'NULL', 'None', 'None', 'Glutamine (Q) rich region', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'F58', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F59', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F60', 'None', '2-o-methyltransferase', 'Rhabdoviridae; Cytorhabdovirus', '2OMT_A', 'None', 'MTase : rossman fold', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL'
'F61', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F62', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F19', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F7', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F3', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F67', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'HD', 'Hydrophobic Domain', 'None', 'NULL', 'NULL', 'NULL', 'NULL', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL'
'ITM', 'Inter Trans Membrane', 'None', 'NULL', 'NULL', 'NULL', 'NULL', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL'
'TM', 'Trans Membrane', 'None', 'NULL', 'NULL', 'NULL', 'NULL', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL'
'LNK', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL'
'S14', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'glycoprotein', 0
'S15', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'glycoprotein', 0
'S16', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL'
'S17', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'glycoprotein', 0
'S18', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'glycoprotein', 0
'S19', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'S20', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'glycoprotein', 0
'M9', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL'
'M14', 'Capsid protein', 'Protease', 'Togaviridae;Alphavirus ', 'PA(S)', 'Serine protease', 'None', 'beta barrel', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'protease', 0
'S23', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL'
'S24', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL'
'S25', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'glycoprotein', 0
'S26', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'S27', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'glycoprotein', 0
'S43', 'None', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'S44', 'None', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'F68', 'None', 'None', 'NULL', 'NULL', 'NULL', 'NULL', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F69', 'None', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F70', 'None', 'None', 'NULL', 'NULL', 'NULL', 'NULL', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'F71', 'None', 'None', 'NULL', 'NULL', 'glycoprotein', 'NULL', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'F72', 'None', 'None', 'NULL', 'NULL', 'hydrophobic protein', 'NS2A is a hydrophobic protein about 25 kDa is size. NS2A is cleaved from NS1 by a membrane bound host protease. NS2A has been found to associate with the dsRNA within the vesicle packages. It has also been found that NS2A associates with the known replicase components and so NS2A has been postulated to be part of this replicase complex.', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'hydrophobic', 0
'F73', 'hydrophobic', 'cofactor protease', 'NULL', 'NULL', 'NS2B-NS3 = functional protease ', 'NULL', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'hydrophobic', 0
'F74', 'serine peptidase', 'protease', 'Flaviviridae; Flavivirus; unclassified Flavivirus', 'PA(S)', 'None', 'NULL', 'beta barrel', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'protease', 0
'F75', 'None', 'None', 'NULL', 'NULL', 'None', 'NULL', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'None', '0'
'F76', 'None', 'None', 'NULL', 'NULL', 'hydrophobic protein', 'NULL', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'hydrophobic', 0
'F77', 'None', 'methytransferase', 'NULL', 'NULL', 'None', 'NULL', 'rossmann', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'methytransferase', 0
'F78', 'None', 'polymerase (RdRp)', 'NULL', 'NULL', 'NULL', 'NULL', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'polymerase', 0
'S45', 'None', 'None', 'NULL', 'NULL', 'role of protection', 'NULL', 'None', 'yes', 'None', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL'
'S46', 'None', 'None', 'NULL', 'NULL', 'NULL', 'NULL', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL'
'S47', 'None', 'None', 'NULL', 'NULL', 'NULL', 'NULL', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'F33', 'None', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL'
'F42', 'None', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL'
'F56', 'None', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL'
'F63', 'None', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL'
'S28', 'None', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL'
'S11', 'ORF3', 'signaling protein, involved in endocytosis', 'NULL', 'NULL', 'NULL', 'propable CALCIUM PUMP', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL'
'F231', 'None', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL'
'F232', 'X domain', 'NULL', 'NULL', 'NULL', 'None', '3D labo - 3 helices', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'X domain', 0
'F79', 'super family II', 'helicase/RNATriPhosphatase', 'NULL', 'NULL', 'NULL', 'NULL', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'helicase/RNATriPhosphatase', 0
'M8', 'None', 'virion assembly and budding', 'NULL', 'NULL', 'NULL', 'By analogy with other matrix proteins, VP40 may facilitate virus budding by interacting with nucleocapsids and the membrane plasma (and a times with intracytoplasmic membranes, forming vacuoles). Specific interactions of VP40 with membrane-associated GP and VP24 during the budding process may also occur.', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'F80', 'minor nucleoprotein', 'RNA encapsidation', 'NULL', 'NULL', 'None', 'The VP30 protein is a minor nucleoprotein, and like the NP it is phosphorylated and tightly bound in the nucleocapsid. The N terminus is rich in basic amino acids (particularly arginine) and may be involved in binding  to virus RNA or the acidic C terminus of NP.', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'minor RNA encapsidation protein', 1
'S48', 'None', 'sialidase or  neuraminidase (EC 3.2.1.18)', 'NULL', 'NULL', 'corresponds to family GH34 in CAZy; MECHANISM : Retaining B=Tyr+Glu AH=not known  ', 'NULL', '6-fold b-propeller', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'neuraminidase or sialidase', 0
'S49', 'None', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL'
'S50', 'None', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'hemagglutinin', 0
