1, 'NP_112021.1', 'NC_002728', '13559809', 'N', 'None', '1', 532, 'Reference'
58, 'NP_598403.1', 'NC_003443', '19525724', 'M', 'None', '1', 377, 'Reference'
59, 'NP_598404.1', 'NC_003443', '19525725', 'F', 'None', '1', 551, 'Reference'
60, 'NP_598405.1', 'NC_003443', '19525726', 'HN', 'None', '1', 571, 'Reference'
61, 'NP_598406.1', 'NC_003443', '19525727', 'L', 'None', '1', 2262, 'Reference'
62, 'NP_071466.1', 'NC_002617', '11545727', 'NP', 'None', '1', 489, 'Reference'
63, 'NP_071467.1', 'NC_002617', '11545728', 'P', 'None', '1', 395, 'Reference'
64, 'NP_071468.1', 'NC_002617', '11545726', 'M', 'None', '1', 364, 'Reference'
65, 'NP_071469.1', 'NC_002617', '11545723', 'F', 'None', '1', 553, 'Reference'
66, 'NP_071470.1', 'NC_002617', '11545724', 'HN', 'None', '1', 577, 'Reference'
67, 'NP_071471.1', 'NC_002617', '11545725', 'L', 'None', '1', 2204, 'Reference'
68, 'BAA01202.1', 'D10371', '222247', 'N', 'None', '392', 523, '97.7% identity'
69, 'BAA01203.1', 'D10371', '222248', 'P/V/C', 'None', '1', 507, 'Reference'
70, 'BAA01204.1', 'D10371', '222249', 'P/V/C', 'None', '1', 174, 'Reference'
71, 'BAA01205.1', 'D10371', '222250', 'M', 'None', '1', 335, 'Reference'
72, 'BAA01206.1', 'D10371', '222251', 'F', 'None', '1', 537, 'Reference'
73, 'BAA01207.1', 'D10371', '222252', 'H', 'None', '1', 607, 'Reference'
74, 'BAA01208.1', 'D10371', '222253', 'L', 'None', '1', 10, ''
75, 'NP_047201.1', 'NC_001921', '9630646', 'None', 'None', '1', 523, 'Reference'
76, 'NP_047202.1', 'NC_001921', '9630647', 'None', 'None', '1', 507, 'Reference'
77, 'NP_047203.1', 'NC_001921', '9630648', 'None', 'None', '1', 174, 'Reference'
78, 'NP_047204.1', 'NC_001921', '9630649', 'None', 'None', '1', 335, 'Reference'
79, 'NP_047205.1', 'NC_001921', '9630650', 'None', 'None', '1', 662, 'Reference'
80, 'NP_047206.1', 'NC_001921', '9630651', 'None', 'None', '1', 604, 'Reference'
81, 'NP_047207.1', 'NC_001921', '9630652', 'None', 'None', '1', 2184, 'Reference'
82, 'NP_047106.1', 'NC_001906', '9630558', 'N', 'None', '1', 532, 'Reference'
83, 'NP_047107.1', 'NC_001906', '9630559', 'P/V/C', 'None', '1', 707, 'Reference'
84, 'NP_047108.1', 'NC_001906', '9630560', 'P/V/C', 'None', '1', 457, 'Reference'
85, 'NP_047109.1', 'NC_001906', '9630561', 'P/V/C', 'None', '1', 166, 'Reference'
86, 'NP_047110.1', 'NC_001906', '9630562', 'M', 'None', '1', 352, 'Reference'
87, 'NP_047111.1', 'NC_001906', '9630563', 'F', 'None', '1', 546, 'Reference'
88, 'NP_047112.1', 'NC_001906', '9630564', 'G', 'None', '1', 604, 'Reference'
89, 'NP_047113.1', 'NC_001906', '9630565', 'L', 'None', '1', 2244, 'Reference'
90, 'NP_056918.1', 'NC_001498', '9626946', 'N', 'None', '1', 525, 'Reference'
91, 'NP_056919.1', 'NC_001498', '9626947', 'P', 'None', '1', 507, 'Reference'
92, 'NP_056920.1', 'NC_001498', '9626948', 'P', 'None', '1', 186, 'Reference'
93, 'NP_056921.1', 'NC_001498', '9626949', 'M', 'None', '1', 335, 'Reference'
94, 'NP_056922.1', 'NC_001498', '9626950', 'F', 'None', '1', 550, 'Reference'
95, 'NP_056923.1', 'NC_001498', '9626951', 'H', 'None', '1', 617, 'Reference'
96, 'NP_056924.1', 'NC_001498', '9626952', 'L', 'None', '1', 2183, 'Reference'
97, 'NP_056871.1', 'NC_001552', '9627220', 'NP', 'None', '1', 524, 'Reference'
98, 'NP_056872.1', 'NC_001552', '9627221', 'Cprim', 'None', '1', 215, 'Reference'
99, 'NP_056873.1', 'NC_001552', '9627222', 'P', 'None', '1', 568, 'Reference'
100, 'NP_056874.1', 'NC_001552', '9627223', 'C', 'None', '1', 204, 'Reference'
101, 'NP_056875.1', 'NC_001552', '9627224', 'Y1', 'None', '1', 181, 'Reference'
102, 'NP_056876.1', 'NC_001552', '9627225', 'M', 'None', '1', 348, 'Reference'
103, 'NP_056877.1', 'NC_001552', '9627226', 'F', 'None', '1', 565, 'Reference'
104, 'NP_056878.1', 'NC_001552', '9627227', 'HN', 'None', '1', 575, 'Reference'
105, 'NP_056879.1', 'NC_001552', '9627228', 'L', 'None', '1', 2228, 'Reference'
106, 'NP_604433', 'NC_003461', '19718364', 'N', 'None', '1', 524, 'Reference'
107, 'NP_604434.1', 'NC_003461', '19718365', 'Cprim', 'None', '1', 219, 'Reference'
108, 'NP_604435.1', 'NC_003461', '19718366', 'P', 'None', '1', 568, 'Reference'
109, 'NP_604436.1', 'NC_003461', '19718367', 'C', 'None', '1', 204, 'Reference'
110, 'NP_604437.1', 'NC_003461', '19718368', 'Y1', 'None', '1', 181, 'Reference'
111, 'NP_604438.1', 'NC_003461', '19718369', 'Y2', 'None', '1', 175, 'Reference'
112, 'NP_604439.1', 'NC_003461', '19718370', 'M', 'None', '1', 348, 'Reference'
113, 'NP_604440.1', 'NC_003461', '19718371', 'F', 'None', '1', 555, 'Reference'
114, 'NP_604441.1', 'NC_003461', '19718372', 'HN', 'None', '1', 575, 'Reference'
115, 'NP_604442.1', 'NC_003461', '19718373', 'L', 'None', '1', 2223, 'Reference'
116, 'NP_067148.1', 'NC_001796', '10937871', 'None', 'None', '1', 515, 'Reference'
117, 'NP_067149.1', 'NC_001796', '10937872', 'None', 'None', '1', 603, 'Reference'
118, 'NP_599250.1', 'NC_001796', '19551240', 'None', 'None', '1', 373, 'Reference'
119, 'NP_599251.1', 'NC_001796', '19551239', 'None', 'None', '1', 199, 'Reference'
120, 'NP_067150.1', 'NC_001796', '10937873', 'None', 'None', '1', 353, 'Reference'
121, 'NP_067151.1', 'NC_001796', '10937874', 'None', 'None', '1', 539, 'Reference'
122, 'NP_067152.1', 'NC_001796', '10937875', 'None', 'None', '1', 574, 'Reference'
123, 'NP_067153.1', 'NC_001796', '10937876', 'None', 'None', '1', 2258, 'Reference'
124, 'NP_037641.1', 'NC_002161', '9634110', 'None', 'None', '1', 515, 'Reference'
125, 'NP_037642.1', 'NC_002161', '9634111', 'None', 'None', '1', 596, 'Reference'
126, 'NP_037643.1', 'NC_002161', '9634112', 'None', 'None', '1', 351, 'Reference'
127, 'NP_037644.1', 'NC_002161', '9634113', 'None', 'None', '1', 540, 'Reference'
128, 'NP_037645.1', 'NC_002161', '9634114', 'None', 'None', '1', 572, 'Reference'
129, 'NP_037646.1', 'NC_002161', '9634115', 'None', 'None', '1', 2233, 'Reference'
130, 'NP_619690.1', 'NC_003616', 'None', 'None', 'None', '1', 303, 'Reference'
131, 'NP_619691.1', 'NC_003616', 'None', 'None', 'None', '1', 1110, 'Reference'
132, 'NP_619688.1', 'NC_003614', 'None', 'L', 'None', '1', 2877, 'Reference'
133, 'NP_604473.1', 'NC_003468', 'None', 'None', 'None', '1', 2153, 'Reference'
134, 'NP_604472.1', 'NC_003467', 'None', 'None', 'None', '1', 1138, 'Reference'
135, 'NP_604471.1', 'NC_003466', 'None', 'None', 'None', '1', 428, 'Reference'
136, 'NP_058537.1', 'NC_002328', 'None', 'None', 'None', '1', 179, 'Reference'
137, 'NP_058538.1', 'NC_002328', 'None', 'None', 'None', '1', 325, 'Reference'
138, 'NP_058535.1', 'NC_002327', 'None', 'None', 'None', '1', 191, 'Reference'
139, 'NP_058536.1', 'NC_002327', 'None', 'None', 'None', '1', 325, 'Reference'
140, 'NP_056856.1', 'NC_001781', '9629199', 'NS1', 'None', '1', 139, 'Reference'
141, 'NP_056857.1', 'NC_001781', '9629200', 'NS2', 'None', '1', 124, 'Reference'
142, 'NP_056858.1', 'NC_001781', '9629201', 'N', 'None', '1', 391, 'Reference'
143, 'NP_056859.1', 'NC_001781', '9629202', 'P', 'None', '1', 241, 'Reference'
144, 'NP_056860.1', 'NC_001781', '9629203', 'M', 'None', '1', 256, 'Reference'
145, 'NP_056861.1', 'NC_001781', '9629204', 'SH', 'None', '1', 65, 'Reference'
146, 'NP_056862.1', 'NC_001781', '9629205', 'G', 'None', '1', 299, 'Reference'
147, 'NP_056863.1', 'NC_001781', '9629206', 'F', 'None', '1', 574, 'Reference'
148, 'NP_056864.1', 'NC_001781', '9629207', 'M2', 'None', '1', 195, 'Reference'
149, 'NP_056865.1', 'NC_001781', '9629208', 'M2', 'None', '1', 90, 'Reference'
150, 'NP_056866.1', 'NC_001781', '9629209', 'L', 'None', '1', 2166, 'Reference'
151, 'NP_048048.1', 'NC_001989', '9631268', 'NS1', 'None', '1', 136, 'Reference'
152, 'NP_048049.1', 'NC_001989', '9631269', 'NS2', 'None', '1', 124, 'Reference'
153, 'NP_048050.1', 'NC_001989', '9631267', 'N', 'None', '1', 391, 'Reference'
154, 'NP_048051.1', 'NC_001989', '9631271', 'P', 'None', '1', 241, 'Reference'
155, 'NP_048052.1', 'NC_001989', '9631272', 'M', 'None', '1', 256, 'Reference'
156, 'NP_048053.1', 'NC_001989', '9631273', 'SH', 'None', '1', 81, 'Reference'
157, 'NP_048054.1', 'NC_001989', '9631274', 'G', 'None', '1', 257, 'Reference'
158, 'NP_048055.1', 'NC_001989', '9631275', 'F', 'None', '1', 574, 'Reference'
159, 'NP_048056.1', 'NC_001989', '9631276', 'M2', 'None', '1', 186, 'Reference'
160, 'NP_048057.1', 'NC_001989', '9631277', 'M2', 'None', '1', 90, 'Reference'
161, 'NP_048058.1', 'NC_001989', '9631278', 'L', 'None', '1', 2162, 'Reference'
162, 'NP_044589.1', 'NC_001803', '9629368', 'NS1', 'None', '1', 139, 'Reference'
163, 'NP_044590.1', 'NC_001803', '9629369', 'NS2', 'None', '1', 124, 'Reference'
164, 'NP_044591.1', 'NC_001803', '9629370', 'N', 'None', '1', 391, 'Reference'
165, 'NP_044592.1', 'NC_001803', '9629371', 'P', 'None', '1', 241, 'Reference'
166, 'NP_044593.1', 'NC_001803', '9629372', 'M', 'None', '1', 256, 'Reference'
167, 'NP_044594.1', 'NC_001803', '9629373', 'SH', 'None', '1', 64, 'Reference'
168, 'NP_044595.1', 'NC_001803', '9629374', 'G', 'None', '1', 298, 'Reference'
169, 'NP_044596.1', 'NC_001803', '9629375', 'F', 'None', '1', 574, 'Reference'
170, 'NP_044597.1', 'NC_001803', '9629376', 'M2', 'None', '1', 194, 'Reference'
171, 'NP_044598.1', 'NC_001803', '9629377', 'L', 'None', '1', 2165, 'Reference'
172, 'NP_066243.1', 'NC_002549', '10314000', 'NP', 'None', '1', 739, 'Reference'
173, 'NP_066244.1', 'NC_002549', '10313992', 'VP35', 'None', '1', 340, 'Reference'
174, 'NP_066245.1', 'NC_002549', '10313993', 'VP40', 'None', '1', 326, 'Reference'
175, 'NP_066246.1', 'NC_002549', '10313995', 'GP', 'None', '1', 676, 'Reference'
176, 'NP_066247.1', 'NC_002549', '10313994', 'GP', 'None', '1', 364, 'Reference'
177, 'NP_066248.1', 'NC_002549', '10313996', 'GP', 'None', '1', 297, 'Reference'
178, 'NP_066249.1', 'NC_002549', '10313997', 'VP30', 'None', '1', 288, 'Reference'
179, 'NP_066250.1', 'NC_002549', '10313998', 'VP24', 'None', '1', 251, 'Reference'
180, 'NP_066251.1', 'NC_002549', '10313999', 'L', 'None', '1', 2212, 'Reference'
181, 'NP_042025.1', 'NC_001608', '13489276', 'NP', 'None', '1', 695, 'Reference'
182, 'NP_042026.1', 'NC_001608', '13489277', 'VP35', 'None', '1', 329, 'Reference'
183, 'NP_042027.1', 'NC_001608', '13489278', 'VP40', 'None', '1', 303, 'Reference'
184, 'NP_042028.1', 'NC_001608', '13489279', 'GP', 'None', '1', 681, 'Reference'
185, 'NP_042029.1', 'NC_001608', '13489280', 'VP30', 'None', '1', 281, 'Reference'
186, 'NP_042030.1', 'NC_001608', '13489281', 'VP24', 'None', '1', 253, 'Reference'
187, 'NP_042031.1', 'NC_001608', '13489282', 'L', 'None', '1', 2331, 'Reference'
190, 'NP_041712.1', 'NC_001560', '9627230', 'None', 'None', '1', 422, 'Reference'
191, 'NP_041713.1', 'NC_001560', '9627231', 'None', 'None', '1', 265, 'Reference'
192, 'NP_041714.1', 'NC_001560', '9627232', 'None', 'None', '1', 229, 'Reference'
193, 'NP_041715.1', 'NC_001560', '9627233', 'None', 'None', '1', 511, 'Reference'
194, 'NP_041716.1', 'NC_001560', '9627234', 'None', 'None', '1', 2109, 'Reference'
195, 'NP_116744.1', 'NC_002803', '14336455', 'N', 'None', '1', 418, 'Reference'
196, 'NP_116745.1', 'NC_002803', '14336456', 'P', 'None', '1', 309, 'Reference'
197, 'NP_116746.1', 'NC_002803', '14336457', 'M', 'None', '1', 223, 'Reference'
198, 'NP_116747.1', 'NC_002803', '14336458', 'G', 'None', '1', 509, 'Reference'
199, 'NP_116748.1', 'NC_002803', '14336459', 'L', 'None', '1', 2095, 'Reference'
200, 'NP_056793.1', 'NC_001542', '9627198', 'None', 'None', '1', 450, 'Reference'
201, 'NP_056794.1', 'NC_001542', '9627199', 'None', 'None', '1', 297, 'Reference'
202, 'NP_056795.1', 'NC_001542', '9627200', 'None', 'None', '1', 202, 'Reference'
203, 'NP_056796.1', 'NC_001542', '9627201', 'None', 'None', '1', 524, 'Reference'
204, 'NP_056797.1', 'NC_001542', '9627202', 'None', 'None', '1', 2142, 'Reference'
205, 'NP_478339.1', 'NC_003243', '17158069', 'N', 'None', '1', 450, 'Reference'
206, 'NP_478340.1', 'NC_003243', '17158070', 'P', 'None', '1', 297, 'Reference'
207, 'NP_478341.1', 'NC_003243', '17158071', 'M', 'None', '1', 212, 'Reference'
208, 'NP_478342.1', 'NC_003243', '17158072', 'G', 'None', '1', 525, 'Reference'
209, 'NP_478343.1', 'NC_003243', '17158073', 'L', 'None', '1', 2128, 'Reference'
210, 'NP_065398.1', 'NC_002526', '10086562', 'N', 'None', '1', 431, 'Reference'
211, 'NP_065399.1', 'NC_002526', '10086563', 'P', 'None', '1', 278, 'Reference'
212, 'NP_065400.1', 'NC_002526', '10086564', 'P', 'None', '1', 48, 'Reference'
213, 'NP_065401.1', 'NC_002526', '10086565', 'M', 'None', '1', 223, 'Reference'
214, 'NP_065402.1', 'NC_002526', '10086566', 'G', 'None', '1', 623, 'Reference'
215, 'NP_065403.1', 'NC_002526', '10086567', 'GNS', 'None', '1', 586, 'Reference'
216, 'NP_065404.1', 'NC_002526', '10086568', 'alpha', 'None', '1', 88, 'Reference'
217, 'NP_065405.1', 'NC_002526', '10086569', 'alpha', 'None', '1', 116, 'Reference'
218, 'NP_065406.1', 'NC_002526', '10086570', 'alpha', 'None', '1', 51, 'Reference'
219, 'NP_065407.1', 'NC_002526', '10086571', 'beta', 'None', '1', 107, 'Reference'
220, 'NP_065408.1', 'NC_002526', '10086572', 'gamma', 'None', '1', 114, 'Reference'
221, 'NP_065409.1', 'NC_002526', '10086573', 'L', 'None', '1', 2144, 'Reference'
222, 'NP_049545.1', 'NC_000855', '9632551', 'N', 'None', '1', 404, 'Reference'
223, 'NP_049546.1', 'NC_000855', '9632552', 'P', 'None', '1', 222, 'Reference'
224, 'NP_049547.1', 'NC_000855', '9632553', 'M', 'None', '1', 201, 'Reference'
225, 'NP_049548.1', 'NC_000855', '9632554', 'G', 'None', '1', 507, 'Reference'
226, 'NP_049549.1', 'NC_000855', '9632555', 'NV', 'None', '1', 122, 'Reference'
227, 'NP_049550.1', 'NC_000855', '9632556', 'L', 'None', '1', 1984, 'Reference'
228, 'NP_050580.1', 'NC_000903', '9633478', 'N', 'None', '1', 399, 'Reference'
229, 'NP_050581.1', 'NC_000903', '9633479', 'P', 'None', '1', 220, 'Reference'
230, 'NP_050582.1', 'NC_000903', '9633480', 'M', 'None', '1', 189, 'Reference'
231, 'NP_050583.1', 'NC_000903', '9633481', 'G', 'None', '1', 512, 'Reference'
232, 'NP_050584.1', 'NC_000903', '9633482', 'NV', 'None', '1', 122, 'Reference'
233, 'NP_050585.1', 'NC_000903', '9633483', 'L', 'None', '1', 1983, 'Reference'
234, 'NP_042676.1', 'NC_001652', '9628083', 'N gene', 'None', '1', 391, 'Reference'
235, 'NP_042677.1', 'NC_001652', '9628084', 'P(M1)', 'None', '1', 230, 'Reference'
236, 'NP_042678.1', 'NC_001652', '9628085', 'M2', 'None', '1', 195, 'Reference'
237, 'NP_042679.1', 'NC_001652', '9628086', 'G', 'None', '1', 508, 'Reference'
238, 'NP_042680.1', 'NC_001652', '9628087', 'NV', 'None', '1', 111, 'Reference'
239, 'NP_042681.1', 'NC_001652', '9628088', 'L', 'None', '1', 1986, 'Reference'
240, 'NP_042020.1', 'NC_001607', '9627494', 'None', 'None', '1', 370, 'Reference'
241, 'NP_042021.1', 'NC_001607', '9627495', 'None', 'None', '1', 201, 'Reference'
242, 'NP_042022.1', 'NC_001607', '9627496', 'None', 'None', '1', 142, 'Reference'
243, 'NP_042023.1', 'NC_001607', '9627497', 'None', 'None', '1', 503, 'Reference'
244, 'NP_042024.1', 'NC_001607', '9627498', 'None', 'None', '1', 1608, 'Reference'
245, 'NP_042281.1', 'NC_001615', '9627722', 'N', 'None', '1', 475, 'Reference'
246, 'NP_042282.1', 'NC_001615', '9627723', 'M2', 'None', '1', 345, 'Reference'
247, 'NP_042283.1', 'NC_001615', '9627724', 'sc4', 'None', '1', 324, 'Reference'
248, 'NP_042284.1', 'NC_001615', '9627725', 'M1', 'None', '1', 286, 'Reference'
249, 'NP_042285.1', 'NC_001615', '9627726', 'G', 'None', '1', 632, 'Reference'
250, 'NP_042286.1', 'NC_001615', '9627727', 'L', 'None', '1', 2116, 'Reference'
251, 'NP_057954.1', 'NC_002251', '9635148', 'N', 'None', '1', 431, 'Reference'
252, 'NP_057955.1', 'NC_002251', '9635149', 'P', 'None', '1', 286, 'Reference'
253, 'NP_057956.1', 'NC_002251', '9635150', '3', 'None', '1', 172, 'Reference'
254, 'NP_057957.1', 'NC_002251', '9635151', '4', 'None', '1', 114, 'Reference'
255, 'NP_057958.1', 'NC_002251', '9635152', '5', 'None', '1', 125, 'Reference'
256, 'NP_057959.1', 'NC_002251', '9635153', '6', 'None', '1', 122, 'Reference'
257, 'NP_057960.1', 'NC_002251', '9635154', 'M', 'None', '1', 174, 'Reference'
258, 'NP_057961.1', 'NC_002251', '9635155', 'G', 'None', '1', 483, 'Reference'
259, 'NP_597914.1', 'NC_002251', '19343434', 'L', 'None', '1', 2058, 'Reference'
260, 'NP_058533.1', 'NC_002326', 'None', 'P4v', 'None', '1', 165, 'Reference'
261, 'NP_058534.1', 'NC_002326', 'None', 'P4vc', 'None', '1', 525, 'Reference'
262, 'NP_058531.1', 'NC_002325', 'None', 'P3v', 'None', '1', 195, 'Reference'
263, 'NP_058532.1', 'NC_002325', 'None', 'P3vc', 'None', '1', 272, 'Reference'
264, 'NP_058529.1', 'NC_002324', 'None', 'P2v', 'None', '1', 200, 'Reference'
265, 'NP_058530.1', 'NC_002324', 'None', 'P2vc', 'None', '1', 822, 'Reference'
266, 'NP_058527.1', 'NC_002323', 'None', 'None', 'None', '1', 166, 'Reference'
267, 'NP_058528.1', 'NC_002323', 'None', 'None', 'None', '1', 2925, 'Reference'
268, 'NP_056776.1', 'NC_001474', 'None', 'None', 'None', '1', 3388, 'Reference'
269, 'AAK08509.1', 'AF333324', 'None', 'None', 'None', '1', 3010, 'Reference'
270, 'NP_878909.1', 'NC_005062', 'None', 'None', 'None', '1', 3414, 'Reference'
272, 'NP_660181.1', 'NC_004054', 'None', 'Pol6', 'None', '1', 695, 'Reference'
273, 'NP_660180.1', 'NC_004053', 'None', 'Pol5', 'None', '1', 729, 'Reference'
274, 'NP_660179.1', 'NC_004052', 'None', 'Pol4', 'None', '1', 783, 'Reference'
275, 'NP_620766.1', 'NC_003841', 'None', 'Nsm', 'None', '1', 312, 'Reference'
276, 'NP_620767.1', 'NC_003841', 'None', 'None', 'None', '1', 1121, 'Reference'
277, 'NP_047211.1', 'NC_001925', 'None', 'None', 'None', '1', 2238, 'Reference'
278, 'NP_040980.1', 'NC_002017', 'None', 'None', 'None', '1', 566, 'Reference'
279, 'NP_619702.1', 'NC_003620', 'None', 'Nsm', 'None', '1', 307, 'Reference'
280, 'NP_619703.1', 'NC_003620', 'None', 'Gpp', 'None', '1', 1121, 'Reference'
281, 'NP_660176.1', 'NC_004049', 'None', 'None', 'None', '1', 718, 'Reference'
282, 'NP_047212.1', 'NC_001926', 'None', 'None', 'None', '1', 1433, 'Reference'
283, 'NP_660178.1', 'NC_004051', 'None', 'None', 'None', '1', 829, 'Reference'
284, 'NP_660177.1', 'NC_004050', 'None', 'None', 'None', '1', 941, 'Reference'
285, 'NP_660174.1', 'NC_004046', 'None', 'None', 'None', '1', 809, 'Reference'
286, 'NP_620770.1', 'NC_003843', 'None', 'None', 'None', '1', 439, 'Reference'
287, 'NP_620771.1', 'NC_003843', 'None', 'None', 'None', '1', 275, 'Reference'
288, 'NP_620752.1', 'NC_003832', 'None', 'L', 'None', '1', 2878, 'Reference'
289, 'NP_620547.1', 'NC_003776', 'None', 'Orf1', 'None', '1', 211, 'Reference'
290, 'NP_620548.1', 'NC_003776', 'None', 'Orf2', 'None', '1', 322, 'Reference'
291, 'NP_620522.1', 'NC_003755', 'None', 'None', 'None', '1', 2919, 'Reference'
292, 'NP_620520.1', 'NC_003754', 'None', 'None', 'None', '1', 199, 'Reference'
293, 'NP_620521.1', 'NC_003754', 'None', 'None', 'None', '1', 834, 'Reference'
294, 'NP_620518.1', 'NC_003753', 'None', 'None', 'None', '1', 178, 'Reference'
295, 'NP_620519.1', 'NC_003753', 'None', 'None', 'None', '1', 286, 'Reference'
296, 'NP_620496.1', 'NC_003746', 'None', 'N', 'None', '1', 521, 'Reference'
297, 'NP_620497.1', 'NC_003746', 'None', '2', 'None', '1', 322, 'Reference'
298, 'NP_620498.1', 'NC_003746', 'None', '3', 'None', '1', 294, 'Reference'
299, 'NP_620499.1', 'NC_003746', 'None', 'M', 'None', '1', 262, 'Reference'
300, 'NP_620500.1', 'NC_003746', 'None', 'G', 'None', '1', 669, 'Reference'
301, 'NP_620501.1', 'NC_003746', 'None', '6', 'None', '1', 93, 'Reference'
302, 'NP_620502.1', 'NC_003746', 'None', 'L', 'None', '1', 1967, 'Reference'
303, 'NP_619710.1', 'NC_003625', 'None', 'None', 'None', '1', 2865, 'Reference'
